INFO 2023-10-30 01:02:56,940 Watching for file changes with StatReloader
INFO 2023-10-30 01:02:58,259 "GET / HTTP/1.1" 200 9030
INFO 2023-10-30 01:03:04,568 "GET /site-config HTTP/1.1" 200 10521
INFO 2023-10-30 01:03:16,487 "POST /site-config HTTP/1.1" 200 10550
INFO 2023-10-30 01:03:18,948 "POST /site-config HTTP/1.1" 200 10550
INFO 2023-10-30 01:03:20,675 "GET /site-config HTTP/1.1" 200 10521
INFO 2023-10-30 01:03:54,021 C:\Users\Harry\Desktop\Django-School-Management-System\apps\corecode\migrations\0002_auto_20200506_1520.py changed, reloading.
INFO 2023-10-30 01:03:54,551 Watching for file changes with StatReloader
INFO 2023-10-30 01:04:14,408 C:\Users\Harry\Desktop\Django-School-Management-System\apps\corecode\migrations\0002_auto_20200506_1520.py changed, reloading.
INFO 2023-10-30 01:04:14,937 Watching for file changes with StatReloader
INFO 2023-10-30 01:17:47,651 Watching for file changes with StatReloader
INFO 2023-10-30 01:18:08,331 "GET / HTTP/1.1" 200 9030
INFO 2023-10-30 01:18:11,402 "GET /site-config HTTP/1.1" 200 10521
INFO 2023-10-30 01:25:47,213 Watching for file changes with StatReloader
INFO 2023-10-30 01:25:48,024 "GET / HTTP/1.1" 200 9030
WARNING 2023-10-30 01:25:48,202 Not Found: /favicon.ico
WARNING 2023-10-30 01:25:48,203 "GET /favicon.ico HTTP/1.1" 404 6308
INFO 2023-10-30 01:25:49,404 "GET / HTTP/1.1" 200 9030
INFO 2023-10-30 01:25:50,816 "GET / HTTP/1.1" 200 9030
INFO 2023-10-30 01:25:53,813 "GET /site-config HTTP/1.1" 200 10521
INFO 2023-10-30 01:25:57,019 "GET /site-config HTTP/1.1" 200 10521
INFO 2023-10-30 01:25:57,185 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2023-10-30 01:25:57,187 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2023-10-30 01:25:57,190 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2023-10-30 01:25:57,191 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2023-10-30 01:25:57,194 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2023-10-30 01:25:57,197 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25807
INFO 2023-10-30 01:25:57,200 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2023-10-30 01:25:57,200 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2023-10-30 01:25:57,202 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
INFO 2023-10-30 01:25:57,206 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2023-10-30 01:25:57,207 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2023-10-30 01:25:57,214 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2023-10-30 01:25:57,218 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042927
INFO 2023-10-30 01:25:57,236 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
INFO 2023-10-30 01:25:57,237 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
WARNING 2023-10-30 01:25:57,391 Not Found: /favicon.ico
WARNING 2023-10-30 01:25:57,392 "GET /favicon.ico HTTP/1.1" 404 6308
INFO 2023-10-30 01:25:57,758 "GET /site-config HTTP/1.1" 200 10521
INFO 2023-10-30 01:25:57,774 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2023-10-30 01:25:57,774 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2023-10-30 01:25:57,777 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25807
INFO 2023-10-30 01:25:57,778 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2023-10-30 01:25:57,778 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2023-10-30 01:25:57,781 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2023-10-30 01:25:57,782 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2023-10-30 01:25:57,784 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2023-10-30 01:25:57,787 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2023-10-30 01:25:57,787 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2023-10-30 01:25:57,789 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
INFO 2023-10-30 01:25:57,793 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2023-10-30 01:25:57,802 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042927
INFO 2023-10-30 01:25:57,854 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
INFO 2023-10-30 01:25:57,855 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
WARNING 2023-10-30 01:25:58,005 Not Found: /favicon.ico
WARNING 2023-10-30 01:25:58,006 "GET /favicon.ico HTTP/1.1" 404 6308
INFO 2023-10-30 01:25:58,807 "GET /site-config HTTP/1.1" 200 10521
INFO 2023-10-30 01:25:58,817 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2023-10-30 01:25:58,825 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2023-10-30 01:25:58,827 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2023-10-30 01:25:58,827 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2023-10-30 01:25:58,828 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25807
INFO 2023-10-30 01:25:58,832 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2023-10-30 01:25:58,833 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2023-10-30 01:25:58,835 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2023-10-30 01:25:58,836 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2023-10-30 01:25:58,837 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2023-10-30 01:25:58,838 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
INFO 2023-10-30 01:25:58,843 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2023-10-30 01:25:58,851 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042927
INFO 2023-10-30 01:25:58,905 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
INFO 2023-10-30 01:25:58,905 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
WARNING 2023-10-30 01:25:59,051 Not Found: /favicon.ico
WARNING 2023-10-30 01:25:59,051 "GET /favicon.ico HTTP/1.1" 404 6308
INFO 2023-10-30 01:25:59,116 "GET /site-config HTTP/1.1" 200 10521
INFO 2023-10-30 01:25:59,134 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2023-10-30 01:25:59,134 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
